[20.537853241] 2018-01-22 22:56:31,009 - INFO - launcher: Starting sanity checks
[20.537853241] 2018-01-22 22:56:31,009 - INFO - launcher: Checking for Python 3.5+
[21.039247513] 2018-01-22 22:56:31,010 - INFO - launcher: Checking console encoding
[21.039247513] 2018-01-22 22:56:31,010 - INFO - launcher: Setting console encoding to UTF-8
[21.039247513] 2018-01-22 22:56:31,010 - INFO - launcher: Ensuring we're in the right environment
[22.049188614] 2018-01-22 22:56:31,011 - INFO - launcher: Adding local bins/ folder to path
[22.049188614] 2018-01-22 22:56:31,011 - INFO - launcher: Required checks passed.
[23.627042770] 2018-01-22 22:56:31,012 - INFO - launcher: Optional checks passed.
[23.627042770] 2018-01-22 22:56:31,012 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[3.8652689456939697] 2018-01-22 22:56:34,854 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 376 in join_voice_channel: (join_voice_channel) creating futures
[3.8663098812103271] 2018-01-22 22:56:34,855 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 382 in join_voice_channel: (join_voice_channel) setting voice state
[3.8668098449707031] 2018-01-22 22:56:34,856 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 385 in join_voice_channel: (join_voice_channel) waiting for session id
[4.0056703090667725] 2018-01-22 22:56:34,995 - DEBUG - musicbot.bot | In bot.py::MainThread(7068), line 2552 in on_voice_state_update: Resumed voice connection to Rakowy Discord/🔨 Minecraft
[4.0061724185943604] 2018-01-22 22:56:34,995 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 2564 in on_voice_state_update: Voice state update for 405055758456324097/Jan DJ II#8469 on Rakowy Discord/🔨 Minecraft -> [RESUME, CONNECT]
[4.0071740150451660] 2018-01-22 22:56:34,996 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 389 in join_voice_channel: (join_voice_channel) waiting for voice data
[4.1127123832702637] 2018-01-22 22:56:35,102 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 403 in join_voice_channel: (join_voice_channel) connecting...
[4.3738126754760742] 2018-01-22 22:56:35,363 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 415 in join_voice_channel: (join_voice_channel) connection successful
[4.3742854595184326] 2018-01-22 22:56:35,363 - DEBUG - musicbot.bot | In bot.py::MainThread(7068), line 463 in get_voice_client: Connected in 0.5s
[4.3748190402984619] 2018-01-22 22:56:35,364 - INFO - musicbot.bot | In bot.py::MainThread(7068), line 464 in get_voice_client: Connected to Rakowy Discord/🔨 Minecraft
